breed_primary,breed_secondary,breed_mixed,breed_unknown,name,age,sex,size,contact_city,contact_state,contact_zip,contact_country,FoundCity,FoundState,foundStateAbb,stateQ
Labrador Retriever,Pit Bull Terrier,True,False,MADIGAN WAGS -RECOVERING FROM HER  PREVIOUS LIFE,Adult,Female,Medium,Feasterville,PA,19053,US,,North Carolina,NC,DE
Akita,,False,False,Chevy,Young,Male,Extra Large,Snellville,GA,30039,US,,North Carolina,NC,GA
Labrador Retriever,,False,False,Drake and Waffles,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Labrador Retriever,German Shepherd Dog,True,False,Chester,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Shepherd,,False,False,Beast,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Pointer,Australian Shepherd,True,False,Fergie,Adult,Female,Medium,Waxhaw,NC,28173,US,,North Carolina,NC,NC
American Bulldog,,False,False,Sampson,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Boxer,,False,False,Jennings,Adult,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Hound,,False,False,Trooper,Baby,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
American Bulldog,,False,False,Thunder,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Border Collie,,True,False,Shazzy,Adult,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Hound,,False,False,Max,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Hound,,False,False,Cooper,Baby,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Great Pyrenees,Shepherd,True,False,Marley,Baby,Female,Large,Charlotte,NC,28206,US,,North Carolina,NC,NC
Great Dane,,False,False,Georgia Pups,Baby,Female,Extra Large,Iron Station,NC,28080,US,,Georgia,GA,NC
Labrador Retriever,,True,False,Sierra,Baby,Female,Medium,Waxhaw,NC,28173,US,,North Carolina,NC,NC
American Bulldog,,True,False,Kendal,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Hound,,False,False,Dynomite,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Beagle,Labrador Retriever,True,False,Frank,Baby,Male,Medium,Greensboro,NC,27417,US,,North Carolina,NC,NC
Labrador Retriever,,False,False,Madison,Baby,Female,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Terrier,,False,False,Spikey,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Labrador Retriever,,True,False,Oakley,Baby,Male,Medium,Waxhaw,NC,28173,US,,North Carolina,NC,NC
Collie,Boxer,True,False,Trinity,Adult,Female,Medium,Waxhaw,NC,28173,US,,North Carolina,NC,NC
American Staffordshire Terrier,Pit Bull Terrier,True,False,Skye,Young,Female,Medium,Rural Hall,NC,27045,US,,North Carolina,NC,NC
Beagle,Labrador Retriever,True,False,Frehley,Baby,Male,Medium,Greensboro,NC,27417,US,,North Carolina,NC,NC
Pointer,Labrador Retriever,True,False,Tucker,Baby,Male,Medium,Greensboro,NC,27417,US,,North Carolina,NC,NC
American Bulldog,,False,False,Buster,Adult,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
